Ward,Searches,Searches_Got_Estimate,Searches_For_Quotes,Searches_Got_Quotes,Bookings,Completed_Trips,Search_To_Estimate_Rate,Estimate_To_Quote_Search_Rate,Quote_Acceptance_Rate,Quote_To_Booking_Rate,Cancelled_Bookings,Booking_Cancellation_Rate,Conversion_Rate,Drivers_Earnings,Average_Distance_Per_Trip_Km,Average_Fare_Per_Trip,Distance_Travelled_Km,Is_Bangalore_Total,Completion_Rate_From_Bookings,Fare_Per_Km,Earnings_Per_Completed_Trip,Distance_Per_Completed_Trip_Km,Booking_to_Search_Rate,Searches_Percentile,Bookings_Percentile,Completed_Trips_Percentile,Conversion_Rate_Percentile,Booking_Cancellation_Rate_Percentile,Average_Fare_Per_Trip_Percentile,Average_Distance_Per_Trip_Km_Percentile,Drivers_Earnings_Percentile,Demand_Quartile,Conversion_Quartile,Cancellation_Quartile
Anjanapura,181644,179006,135191,91485,88729,60694,98.6,75.5,67.7,97.0,28021,31.6,33.4,9140657,8.31,144.46,531947,False,68.4037913196362,17.38387484957882,150.60231653870235,8.76440834349359,48.84774614080289,51.63934426229508,52.04918032786885,55.32786885245902,60.245901639344254,21.51639344262295,75.81967213114754,78.89344262295081,59.83606557377049,High,High,Low
Jayachamarajendra  Nagar,167767,166630,130339,90839,89181,60216,99.3,78.2,69.7,98.2,28949,32.5,35.9,7887322,6.65,120.71,447086,False,67.52110875634945,18.15187969924812,130.98382489703732,7.424704397502325,53.15765317374692,50.0,52.86885245901639,54.91803278688525,71.51639344262296,29.713114754098363,31.147540983606557,28.278688524590162,52.459016393442624,Moderate,High,Moderate
Jayamahal,199847,198600,154332,96533,95354,57697,99.4,77.7,62.5,98.8,37629,39.5,28.9,8178556,7.08,130.82,449166,False,60.508211506596474,18.4774011299435,141.75010832452293,7.784910827252717,47.71350082813352,55.73770491803278,56.557377049180324,54.50819672131148,38.9344262295082,76.02459016393442,54.09836065573771,45.49180327868852,53.278688524590166,High,Moderate,Very High
Shettihalli,172369,170961,121801,87975,86145,56658,99.2,71.2,72.2,97.9,29465,34.2,32.9,7692274,7.57,131.12,450388,False,65.77050322131291,17.32100396301189,135.7667760951675,7.949239295421653,49.977084046435266,51.229508196721305,50.0,54.09836065573771,56.557377049180324,41.80327868852459,54.91803278688525,62.295081967213115,51.63934426229508,High,High,Moderate
Lakkasandra,244683,242974,202937,96480,94954,56502,99.3,83.5,47.5,98.4,38431,40.5,23.1,7361671,6.97,126.23,413147,False,59.50460222844745,18.110473457675756,130.29044989557892,7.312077448585891,38.8069461302992,66.80327868852459,55.73770491803278,53.68852459016394,14.139344262295081,81.76229508196722,43.64754098360656,40.57377049180328,49.18032786885246,High,Low,Very High
Dattatreya Temple,139810,138323,104347,81795,80384,56306,98.9,75.4,78.4,98.3,24051,29.9,40.3,7092611,6.58,118.04,404266,False,70.04627786624204,17.93920972644377,125.96545661208397,7.179803218129507,57.49517201916887,43.0327868852459,47.950819672131146,53.278688524590166,89.34426229508196,13.729508196721312,24.18032786885246,25.40983606557377,47.950819672131146,Moderate,Very High,Low
Medahalli,210416,208912,160872,89864,88720,56103,99.3,77.0,55.9,98.7,32596,36.7,26.7,9502663,8.86,157.11,552030,False,63.23602344454463,17.73250564334086,169.37887456998735,9.83958077108176,42.16409398524827,58.19672131147541,51.63934426229508,52.86885245901639,28.688524590163933,60.65573770491803,90.98360655737704,88.52459016393442,62.704918032786885,High,Moderate,High
K R Puram,246849,245151,181931,96758,95586,55788,99.3,74.2,53.2,98.8,39775,41.6,22.6,8730663,8.15,144.68,501154,False,58.36419559349696,17.752147239263802,156.497149924715,8.983186348318634,38.722457858852984,67.21311475409836,57.377049180327866,52.459016393442624,11.270491803278688,88.11475409836066,76.63934426229508,73.77049180327869,56.14754098360656,High,Low,Very High
Garudachar Playa,233812,232336,191372,97957,96448,55750,99.4,82.4,51.2,98.5,40674,42.2,23.8,9038348,8.3,147.09,510788,False,57.80316854678168,17.721686746987952,162.1228340807175,9.162116591928251,41.25023523172464,63.934426229508205,58.606557377049185,52.04918032786885,16.188524590163937,90.1639344262295,79.91803278688525,78.27868852459017,59.42622950819673,High,Low,Very High
Katriguppe,136402,135253,100769,81074,79166,55446,99.2,74.5,80.5,97.6,23701,29.9,40.6,6475234,6.52,117.47,366779,False,70.03764242225198,18.016871165644172,116.78451105580204,6.6150669119503664,58.03873843492031,41.39344262295082,47.13114754098361,51.63934426229508,90.1639344262295,13.729508196721312,22.131147540983605,23.36065573770492,44.26229508196721,Moderate,Very High,Low
